Iteration Per Action,Mean Score
1.0,2478.84
2.0,3087.4
3.0,3493.36
4.0,4159.12
5.0,5003.6
6.0,5627.04
6.0,0.0
6.0,0.0
6.0,0.0
6.0,0.0
6.0,0.0
6.0,0.0
6.0,0.0
6.0,0.0
6.0,0.0
6.0,0.0
6.0,0.0
6.0,0.0
6.0,0.0
6.0,0.0
6.0,0.0
6.0,0.0
6.0,0.0
