Iteration Per Action,Score,Chosen element number,Percentile
8,6984,5,50
8,5408,3,30
4,2784,3,70
1,3064,1,10
16,6680,9,50
1,1340,1,70
1,4832,0,0
1,2392,1,30
16,14300,0,0
2,564,2,90
16,15148,0,0
8,1296,7,80
1,2784,1,20
1,2640,1,100
4,2788,2,40
4,2696,4,100
1,992,1,10
2,588,2,70
1,2940,1,100
4,2888,1,10
2,1080,2,100
8,2996,2,20
4,6616,2,30
4,2856,4,100
4,5216,1,10
4,2888,3,80
8,6552,5,60
2,1876,2,90
16,6848,5,30
4,1052,4,100
16,5212,15,90
16,6948,4,20
1,1856,1,30
2,6500,2,60
8,6172,5,50
1,2884,1,40
16,11112,7,40
2,4960,1,20
4,1800,2,30
8,4992,7,80
1,2104,1,10
8,6560,2,10
1,2716,1,40
1,816,1,100
1,1920,1,50
2,1352,2,100
1,2144,1,100
1,2400,1,50
2,3000,1,20
16,13336,13,80
2,6092,1,10
8,2776,6,70
1,4312,1,30
8,6124,7,90
2,3104,1,50
16,2864,13,80
8,4696,5,50
4,4024,3,60
2,1744,2,60
8,6652,7,80
16,2396,15,90
1,2208,1,10
4,4460,2,20
8,1216,6,70
16,10692,10,60
2,3316,0,0
1,680,1,80
16,4784,13,80
8,6360,3,30
1,2044,1,50
16,6952,10,60
16,4976,4,20
1,2140,1,10
4,5236,1,10
2,2576,1,40
16,5016,13,80
2,2140,2,100
8,6084,2,10
1,1044,1,30
1,1240,1,90
16,6944,9,50
2,1172,1,30
1,2524,1,90
16,5116,4,20
4,5592,1,10
4,9476,0,0
4,1300,1,10
2,4352,2,60
2,2248,2,60
2,1220,1,40
4,2884,3,80
1,2124,1,100
16,11304,5,30
16,5800,11,70
8,2300,8,100
8,5816,5,50
1,2120,0,0
4,1224,4,100
4,6208,1,10
1,3056,1,100
16,4940,10,60
1,2188,1,70
2,4708,1,20
2,3008,0,0
1,908,1,90
8,1864,0,0
4,3236,3,70
2,4040,2,90
16,5164,0,0
8,6752,2,20
4,11500,2,40
2,2732,1,50
16,4876,0,0
2,1824,1,40
4,6132,2,30
8,6424,4,40
16,6644,4,20
2,2900,1,10
16,14636,10,60
4,2408,4,100
2,2544,1,40
16,11212,3,10
4,6508,3,60
4,3076,1,10
16,6600,0,0
1,2236,1,20
16,6544,0,0
2,2736,1,20
4,1480,4,90
8,3584,2,10
8,4496,2,10
2,344,2,100
16,2796,9,50
2,2440,2,90
1,1200,1,50
8,2832,5,60
16,5864,0,0
4,1204,4,90
16,4980,16,100
16,6608,0,0
16,11292,9,50
2,1240,1,30
2,2584,2,80
4,1472,4,100
1,1840,1,50
1,2204,1,90
8,6812,5,50
1,2860,1,70
1,1272,1,30
16,6604,3,10
1,1356,1,60
16,6124,11,70
8,6768,4,40
16,6632,10,60
8,6896,5,60
4,6572,1,10
4,5924,1,10
16,11580,10,60
4,5716,2,30
2,2672,2,90
1,1852,1,70
16,9924,13,80
1,2628,0,0
1,2688,0,0
1,1132,0,0
1,2320,0,0
1,2524,0,0
1,1420,0,0
1,4436,0,0
1,2520,0,0
1,1464,0,0
1,1244,0,0
1,2424,0,0
1,1188,0,0
1,2800,0,0
1,2176,0,0
1,1324,0,0
1,548,0,0
