Iteration Per Action,Score,Chosen element number,Percentile
32,11340,7,20
32,13672,7,20
32,11296,7,20
32,15696,7,20
32,16136,7,20
32,11580,7,20
32,6668,7,20
32,11588,7,20
32,3092,7,20
32,14592,7,20
32,6676,7,20
32,6568,7,20
32,6600,7,20
32,6840,7,20
32,6808,7,20
32,6668,7,20
32,6384,7,20
32,10112,7,20
32,6660,7,20
32,6788,7,20
32,11736,7,20
32,3180,7,20
32,5000,7,20
32,5116,7,20
32,6940,7,20
32,20816,7,20
32,6040,7,20
32,6588,7,20
32,11388,7,20
32,5972,7,20
32,5988,10,30
32,6772,10,30
32,6588,10,30
32,6596,10,30
32,7256,10,30
32,6404,10,30
32,6532,10,30
32,11408,10,30
32,15168,10,30
32,15116,10,30
32,6388,10,30
32,11788,10,30
32,15408,10,30
32,3140,10,30
32,5056,10,30
32,10752,10,30
32,6700,10,30
32,5336,10,30
32,7088,10,30
32,11460,10,30
32,14296,10,30
32,10308,10,30
32,11464,10,30
32,6672,10,30
32,5276,10,30
32,6744,10,30
32,14848,10,30
32,11728,10,30
32,6552,10,30
32,13840,10,30
32,11504,10,30
32,6612,10,30
32,22128,10,30
32,6620,10,30
32,6596,10,30
32,5100,10,30
32,6812,10,30
32,6884,10,30
32,5928,10,30
32,11856,10,30
32,13544,10,30
32,14580,10,30
32,6412,10,30
32,13580,10,30
32,6140,10,30
32,15144,10,30
32,6612,10,30
32,13432,10,30
32,13688,10,30
32,14560,10,30
32,6860,10,30
32,11480,10,30
32,13368,10,30
32,15144,10,30
32,6572,10,30
32,11396,10,30
32,13052,10,30
32,6616,10,30
32,11080,10,30
32,15132,10,30
32,11460,10,30
32,15744,10,30
32,6416,10,30
32,6716,10,30
32,13532,10,30
32,6728,10,30
32,12896,10,30
32,11188,10,30
32,5044,10,30
32,6564,10,30
32,6660,10,30
32,3036,10,30
32,13176,10,30
32,3104,10,30
32,2908,10,30
32,6864,10,30
32,2952,10,30
32,6612,10,30
32,11500,10,30
32,5592,10,30
32,6836,10,30
32,6716,10,30
32,15268,10,30
32,12124,10,30
32,11516,10,30
32,6840,10,30
32,15104,10,30
32,15424,10,30
32,6680,10,30
32,11732,10,30
32,14808,10,30
32,6628,10,30
32,6904,10,30
32,11128,10,30
32,11456,10,30
32,6328,10,30
32,6928,10,30
32,10776,10,30
32,14444,10,30
32,6864,10,30
32,6552,10,30
32,6872,10,30
32,6556,10,30
32,10008,13,40
32,15276,13,40
32,14552,13,40
